,review_id,perfect,great,awesome,super,powerful,bad,noisy,hard,disappointed,difficult
0,R9T1FE2ZX2X04,False,True,False,False,False,False,False,False,False,False
1,RE36JAD5V53PO,False,False,False,False,True,False,False,False,False,False
2,RIDHM8B7SCCV3,False,False,False,False,False,False,False,False,False,False
3,R14QGWPCHU9LSE,False,False,False,False,False,False,False,False,False,False
4,R35BHQJHXXJD59,True,True,False,False,False,False,False,False,False,False
5,R230LCPQDOFJJZ,False,False,False,False,False,False,False,False,False,False
6,R21NN9ONVZITI0,False,False,False,False,False,False,False,False,False,False
7,RYOOYLVIAHU2A,False,False,False,False,False,False,False,False,False,False
8,R18NK8BQ5LPMZZ,False,False,False,False,False,False,False,False,False,False
9,RD0BGSERMZ2JS,False,False,False,False,False,False,False,False,False,False
10,R2NEOR5Y0P7U8V,False,False,False,True,False,False,False,False,False,False
11,R3N0F2FKJOMGKK,False,True,False,False,False,False,False,False,False,False
12,R2M6U66CT3H5OY,False,False,False,False,False,False,False,False,False,False
13,R2WDYCZI91LL6K,False,False,False,False,False,False,False,False,False,False
14,R1DZKVY1CJF3QP,False,False,False,True,False,False,False,False,False,False
15,R3IL7ENAGVGJ3I,False,False,False,False,False,False,False,False,False,False
16,R1PEMP08D31OPZ,False,False,False,False,False,False,False,False,False,False
17,R35ZY5QEANBM8D,False,False,False,False,True,False,False,False,False,False
18,RWMEEVC97HUNG,False,False,False,False,False,False,False,False,False,False
19,R3GR9RB60NKBG0,False,False,False,False,False,False,False,False,False,False
20,R2S51H4FUT53NR,False,False,False,False,False,False,False,False,False,False
21,RTYQK30NMOCM6,False,False,False,False,False,True,False,False,False,False
22,R3GELVX38EM91L,False,True,False,False,False,False,False,False,False,False
23,ROMFVXSLZP6HW,False,False,False,False,False,False,False,False,False,False
24,R1MNTJKIK8FETW,False,True,False,False,False,False,False,False,False,False
25,R1PVX4QFWHMCWO,False,False,False,False,False,False,False,False,False,False
26,RSJM2TUS1RV7B,False,False,False,False,False,False,False,False,False,False
27,R3QWLLEFDJAE1S,False,False,False,False,False,False,False,False,False,False
28,REOAJPZWKR6K9,False,False,False,False,False,False,False,False,False,False
29,R3KD277RB5OGGF,False,False,False,False,False,False,False,False,False,False
30,R1CH89SEVYIHW0,False,False,False,False,False,False,False,False,False,False
31,R3N3KZ7ZP8HJQV,False,False,False,False,False,False,True,False,False,False
32,R1PCG4HG8GZJBE,True,False,False,False,False,False,False,False,False,False
33,R38Q9W9BNZN2C4,False,False,False,False,False,False,False,True,False,False
34,R1WXXPRNQWE7Y6,False,False,False,False,False,False,False,False,False,False
35,R3SS843K1CWOIY,False,False,False,False,False,False,False,False,False,False
36,R1CBKQKQYW50UX,False,False,False,False,False,False,False,False,False,False
37,R3DTN85N6X9SIS,False,False,False,False,False,False,False,False,False,False
38,R3LY7MANJ71HBW,False,False,False,False,False,False,False,False,False,False
39,R24QP0W6EEOHUS,False,False,False,False,False,False,False,False,False,False
40,RLQUFMAV4PDJV,False,False,False,False,True,False,False,False,False,False
41,RO9KNA385PZML,False,False,False,False,False,False,False,False,False,False
42,R2XSDRSLLGC750,False,False,False,False,False,False,False,False,False,False
43,R1GNASF5UI5MFK,False,True,False,False,False,False,False,False,False,False
44,RP1Z1HVOLQD34,False,False,False,False,True,False,False,False,False,False
45,R20ZGQIMYDIS4H,False,False,False,False,False,False,False,False,False,False
46,R17M5MZ51QMVCK,False,False,False,False,False,False,False,False,False,False
47,R3F0HVXSBUC4ZA,False,False,False,False,False,False,False,False,False,False
48,RVQC05SNQCV7U,False,False,False,False,False,False,False,False,False,False
49,R2CNQVPGS12Q9U,False,False,False,False,True,False,False,False,False,False
50,R2DCN3LVLN029S,False,False,False,False,False,False,False,False,False,False
51,R2AVR4LDQJ9ZC3,False,False,False,False,True,False,False,False,False,False
52,R3U2Q8FK78NL25,False,False,False,False,False,False,False,False,False,False
53,R1VR5BNNT6O42J,False,False,False,False,False,False,False,False,False,False
54,R1NRG8W14M4CLG,False,True,False,False,False,False,False,False,False,False
55,R3L5SKZ80SISVL,False,False,False,False,False,False,False,False,False,False
56,R3TK7ALY9OX6AU,False,False,False,False,False,False,False,False,False,False
57,R14H2YRC78LPRI,False,False,False,False,True,False,False,False,False,False
58,R325ASXFQ8D66J,False,False,False,False,False,False,False,False,False,False
59,RXTB7K8FZ2CUI,False,False,False,False,False,True,False,False,False,False
60,R2SACSUOBNV12T,False,False,False,False,False,False,False,False,False,False
